Timestamp,Type,Severity,Source_IP,Destination_IP,Description
2025-08-11T12:36:20.097554,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,Access to HTTPS port 443
2025-08-11T12:36:20.176974,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:5a02:8cd9:580:26fb:7c33,Access to HTTPS port 443
2025-08-11T12:36:20.176974,PAYLOAD_COMMAND_INJECTION,HIGH,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:5a02:8cd9:580:26fb:7c33,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:36:20.352108,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:5a02:8cd9:580:26fb:7c33,Access to HTTPS port 443
2025-08-11T12:36:20.352108,PAYLOAD_COMMAND_INJECTION,HIGH,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:5a02:8cd9:580:26fb:7c33,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:36:20.527797,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,Access to HTTPS port 443
2025-08-11T12:36:20.603555,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,Access to HTTPS port 443
2025-08-11T12:36:20.603555,PAYLOAD_COMMAND_INJECTION,HIGH,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:36:20.792858,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,Access to HTTPS port 443
2025-08-11T12:36:20.888380,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,Access to HTTPS port 443
2025-08-11T12:36:20.992449,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,Access to HTTPS port 443
2025-08-11T12:36:21.098931,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,Access to HTTPS port 443
2025-08-11T12:36:21.208546,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,Access to HTTPS port 443
2025-08-11T12:36:21.306941,PAYLOAD_COMMAND_INJECTION,HIGH,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:36:21.414654,PAYLOAD_COMMAND_INJECTION,HIGH,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:36:21.521293,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,Access to HTTPS port 443
2025-08-11T12:36:21.633054,PAYLOAD_COMMAND_INJECTION,HIGH,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:36:21.748035,PAYLOAD_COMMAND_INJECTION,HIGH,2606:4700:99e3:5a02:8cd9:580:26fb:7c33,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:36:23.508455,PAYLOAD_COMMAND_INJECTION,HIGH,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:36:23.603293,PAYLOAD_COMMAND_INJECTION,HIGH,2606:4700:99e3:5a02:8cd9:5a8:26fb:7c33,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:37:45.637466,BLACKLISTED_IP,HIGH,10.17.28.137,239.255.255.250,Traffic from blacklisted IP: 10.17.28.137
2025-08-11T12:37:45.750184,BLACKLISTED_IP,HIGH,10.17.28.137,10.17.28.64,Traffic from blacklisted IP: 10.17.28.137
2025-08-11T12:37:45.794322,BLACKLISTED_IP,HIGH,10.17.28.137,10.17.28.64,Traffic from blacklisted IP: 10.17.28.137
2025-08-11T12:37:45.842014,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2603:1030:c04:3::4fe,Access to HTTPS port 443
2025-08-11T12:37:46.492143,BLACKLISTED_IP,HIGH,10.17.28.137,10.17.28.64,Traffic from blacklisted IP: 10.17.28.137
2025-08-11T12:37:46.550614,BLACKLISTED_IP,HIGH,10.17.28.137,10.17.28.64,Traffic from blacklisted IP: 10.17.28.137
2025-08-11T12:37:46.617608,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::d05f:7001,Access to HTTP port 80
2025-08-11T12:37:46.683781,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2603:1030:c04:3::4fe,Access to HTTPS port 443
2025-08-11T12:37:46.789612,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2603:1030:c04:3::4fe,Access to HTTPS port 443
2025-08-11T12:37:46.895691,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::d05f:7001,Access to HTTP port 80
2025-08-11T12:37:46.983115,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::d05f:7001,Access to HTTP port 80
2025-08-11T12:37:47.069666,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2603:1030:c04:3::4fe,Access to HTTPS port 443
2025-08-11T12:37:47.131585,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2603:1030:c04:3::4fe,Access to HTTPS port 443
2025-08-11T12:37:47.223821,PAYLOAD_COMMAND_INJECTION,HIGH,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:9436:47d9:5a8:6810:aee2,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:37:47.295708,PAYLOAD_COMMAND_INJECTION,HIGH,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:8d92:e632:f4d9:5a1:6811:180e,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:37:47.397647,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::c7e8:66d9,Access to HTTPS port 443
2025-08-11T12:37:47.486920,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::d05f:7001,Access to HTTP port 80
2025-08-11T12:37:47.581668,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::c7e8:66d9,Access to HTTPS port 443
2025-08-11T12:37:47.826250,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::c7e8:66d9,Access to HTTPS port 443
2025-08-11T12:37:47.826250,PAYLOAD_COMMAND_INJECTION,HIGH,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::c7e8:66d9,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:37:47.969214,SUSPICIOUS_PORT,LOW,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,64:ff9b::c7e8:66d9,Access to HTTPS port 443
2025-08-11T12:37:48.028352,PAYLOAD_COMMAND_INJECTION,HIGH,2606:4700:99e3:9436:47d9:5a8:6810:aee2,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:37:48.692840,PAYLOAD_COMMAND_INJECTION,HIGH,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,2606:4700:99e3:9436:47d9:5a8:6810:aee2,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:37:48.742582,PAYLOAD_COMMAND_INJECTION,HIGH,2606:4700:99e3:9436:47d9:5a8:6810:aee2,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,Malicious payload detected: COMMAND_INJECTION
2025-08-11T12:37:48.805972,PAYLOAD_COMMAND_INJECTION,HIGH,2606:4700:8d92:e632:f4d9:5a1:6811:180e,2409:40e2:15f:e3a9:bd68:d765:f486:b08f,Malicious payload detected: COMMAND_INJECTION
